MOISTURE,KNOT_RATIO,TREERING,E,DENSITY,BEAMHEIGHT,BENDING_STRENGTH,BENDING_STIFFNESS,
%,-,MM,N/MM2,KG/M3,CM,N/MM2,N/MM,
13.3,0.04,3.0,14053.0,675.0,101.0,58.4,3.8607142857142858,
12.0,0.16,2.5,20611.0,474.0,100.0,74.35,5.7252777777777775,
12.8,0.14,3.88,18846.0,596.0,99.0,49.82,5.293820224719101,
11.7,0.13,2.02,18587.0,582.0,100.0,78.52,5.163055555555555,
12.0,0.16,2.13,19299.0,678.0,100.0,79.31,5.360833333333333,
12.4,0.04,2.98,21695.0,595.0,100.0,64.34,6.026388888888889,
12.5,0.32,3.67,16523.0,592.0,100.0,58.19,4.589722222222222,
11.5,0.07,3.67,18333.0,634.0,101.0,88.39,5.036538461538462,
13.1,0.19,2.44,18628.0,592.0,101.0,33.02,5.117582417582417,
11.7,0.25,3.0,15683.0,540.0,101.0,60.28,4.308516483516484,
13.2,0.2,3.75,18496.0,605.0,100.0,91.86,5.137777777777778,
11.9,0.11,1.96,19792.0,646.0,101.0,81.88,5.437362637362638,
12.3,0.03,2.4,20098.0,618.0,101.0,91.02,5.521428571428571,
12.4,0.06,2.39,15600.0,624.0,101.0,81.3,4.285714285714286,
13.1,0.03,2.23,18065.0,589.0,101.0,67.08,4.962912087912088,
14.0,0.04,4.28,14883.0,610.0,100.0,48.41,4.134166666666666,
12.6,0.07,2.81,11282.0,614.0,102.0,55.54,3.065760869565217,
12.0,0.2,3.18,15731.0,620.0,100.0,75.55,4.369722222222222,
12.1,0.05,2.02,18878.0,581.0,98.0,79.67,5.363068181818182,
12.3,0.07,2.39,14199.0,642.0,101.0,70.49,3.9008241758241757,
12.5,0.15,2.41,19119.0,549.0,100.0,80.37,5.310833333333333,
12.5,0.18,2.06,19467.0,670.0,100.0,86.85,5.4075,
13.1,0.14,2.77,17343.0,597.0,101.0,60.01,4.76456043956044,
13.1,0.28,3.65,15069.0,564.0,100.0,55.27,4.185833333333333,
12.2,0.31,3.06,14728.0,592.0,99.0,74.97,4.1370786516853935,
12.3,0.16,3.48,14707.0,543.0,100.0,59.03,4.085277777777778,
12.6,0.06,1.64,17602.0,612.0,100.0,77.99,4.889444444444444,
12.6,0.13,2.18,18700.0,656.0,100.0,65.2,5.194444444444445,
12.5,0.1,3.92,15469.0,787.0,100.0,60.97,4.296944444444445,
12.8,0.15,2.42,19109.0,663.0,100.0,80.28,5.308055555555556,
13.1,0.08,3.52,12835.0,706.0,103.0,70.14,3.450268817204301,
12.3,0.09,2.92,15130.0,686.0,102.0,75.67,4.111413043478261,
12.0,0.21,4.79,18666.0,654.0,102.0,85.95,5.0722826086956525,
12.8,0.14,3.07,15727.0,594.0,101.0,101.53,4.320604395604396,
12.2,0.12,2.09,17240.0,658.0,102.0,82.06,4.684782608695652,
12.8,0.0,2.45,14355.0,663.0,102.0,72.74,3.900815217391304,
12.4,0.16,4.6,15551.0,611.0,99.0,65.96,4.3682584269662925,
11.8,0.12,3.78,18652.0,582.0,100.0,67.87,5.181111111111111,
11.6,0.28,2.62,20494.0,621.0,98.0,40.88,5.822159090909091,
11.8,0.07,3.24,19982.0,641.0,100.0,69.28,5.5505555555555555,
11.5,0.08,2.18,12110.0,506.0,101.0,77.03,3.326923076923077,
11.9,0.34,2.72,11400.0,596.0,100.0,42.23,3.1666666666666665,
12.0,0.28,4.22,14695.0,511.0,102.0,48.48,3.9932065217391304,
12.7,0.11,4.26,12215.0,552.0,101.0,30.54,3.355769230769231,
12.1,0.29,2.83,12674.0,565.0,101.0,48.79,3.481868131868132,
12.2,0.53,3.93,9134.0,564.0,101.0,28.6,2.5093406593406593,
11.9,0.24,2.09,13941.0,607.0,103.0,61.62,3.7475806451612903,
