# MOISTURE,KNOT_RATIO,TREERING,E,DENSITY,BEAMHEIGHT,BENDING_STRENGTH,STIFFNES
# %,-,MM,N/MM2,KG/M3,CM,N/MM2,N/MM
1.330000000000000071e+01,4.000000000000000083e-02,3.000000000000000000e+00,1.405300000000000000e+04,6.750000000000000000e+02,1.010000000000000000e+02,5.839999999999999858e+01,2.195781250000000853e+02
1.200000000000000000e+01,1.600000000000000033e-01,2.500000000000000000e+00,2.061100000000000000e+04,4.740000000000000000e+02,1.000000000000000000e+02,7.434999999999999432e+01,3.285857310478523345e+02
1.280000000000000071e+01,1.400000000000000133e-01,3.879999999999999893e+00,1.884600000000000000e+04,5.960000000000000000e+02,9.900000000000000000e+01,4.982000000000000028e+01,3.066105268638067400e+02
1.169999999999999929e+01,1.300000000000000044e-01,2.020000000000000018e+00,1.858700000000000000e+04,5.820000000000000000e+02,1.000000000000000000e+02,7.851999999999999602e+01,2.963186154474033742e+02
1.200000000000000000e+01,1.600000000000000033e-01,2.129999999999999893e+00,1.929900000000000000e+04,6.780000000000000000e+02,1.000000000000000000e+02,7.931000000000000227e+01,3.076694980104071533e+02
1.240000000000000036e+01,4.000000000000000083e-02,2.979999999999999982e+00,2.169500000000000000e+04,5.950000000000000000e+02,1.000000000000000000e+02,6.434000000000000341e+01,3.458671309050097307e+02
1.250000000000000000e+01,3.200000000000000067e-01,3.669999999999999929e+00,1.652300000000000000e+04,5.920000000000000000e+02,1.000000000000000000e+02,5.818999999999999773e+01,2.634138098153250098e+02
1.150000000000000000e+01,7.000000000000000666e-02,3.669999999999999929e+00,1.833300000000000000e+04,6.340000000000000000e+02,1.010000000000000000e+02,8.839000000000000057e+01,2.864531250000000568e+02
1.309999999999999964e+01,1.900000000000000022e-01,2.439999999999999947e+00,1.862800000000000000e+04,5.920000000000000000e+02,1.010000000000000000e+02,3.302000000000000313e+01,2.910625000000000568e+02
1.169999999999999929e+01,2.500000000000000000e-01,3.000000000000000000e+00,1.568300000000000000e+04,5.400000000000000000e+02,1.010000000000000000e+02,6.028000000000000114e+01,2.450468750000000853e+02
