YGSVRK SUOYZAXK QTUZ_XGZOU ZXKKXOTM K JKTYOZE HKGSNKOMNZ HKTJOTM_YZXKTMZN
ATOZY % - SS T/SS2 QM/S3 IS T/SS2
JU1 13.3 0.04 3 14053 675 101 58.4
JU2 12 0.16 2.5 20611 474 100 74.35
JU3 12.8 0.14 3.88 18846 596 99 49.82
JU4 11.7 0.13 2.02 18587 582 100 78.52
JU5 12 0.16 2.13 19299 678 100 79.31
JU6 12.4 0.04 2.98 21695 595 100 64.34
JU7 12.5 0.32 3.67 16523 592 100 58.19
JU8 11.5 0.07 3.67 18333 634 101 88.39
JU9 13.1 0.19 2.44 18628 592 101 33.02
JU10 11.7 0.25 3 15683 540 101 60.28
JU11 13.2 0.2 3.75 18496 605 100 91.86
JU12 11.9 0.11 1.96 19792 646 101 81.88
JU13 12.3 0.03 2.4 20098 618 101 91.02
JU14 12.4 0.06 2.39 15600 624 101 81.3
JU15 13.1 0.03 2.23 18065 589 101 67.08
JU16 14 0.04 4.28 14883 610 100 48.41
JU17 12.6 0.07 2.81 11282 614 102 55.54
JU18 12 0.2 3.18 15731 620 100 75.55
JU19 12.1 0.05 2.02 18878 581 98 79.67
JU20 12.3 0.07 2.39 14199 642 101 70.49
JU21 12.5 0.15 2.41 19119 549 100 80.37
JU22 12.5 0.18 2.06 19467 670 100 86.85
JU23 13.1 0.14 2.77 17343 597 101 60.01
JU24 13.1 0.28 3.65 15069 564 100 55.27
JU25 12.2 0.31 3.06 14728 592 99 74.97
JU26 12.3 0.16 3.48 14707 543 100 59.03
JU27 12.6 0.06 1.64 17602 612 100 77.99
JU29 12.6 0.13 2.18 18700 656 100 65.2
JU30 12.5 0.1 3.92 15469 787 100 60.97
JU31 12.8 0.15 2.42 19109 663 100 80.28
JU32 13.1 0.08 3.52 12835 706 103 70.14
JU33 12.3 0.09 2.92 15130 686 102 75.67
JU34 12 0.21 4.79 18666 654 102 85.95
JU35 12.8 0.14 3.07 15727 594 101 101.53
JU36 12.2 0.12 2.09 17240 658 102 82.06
JU37 12.8 0 2.45 14355 663 102 72.74
JU38 12.4 0.16 4.6 15551 611 99 65.96
JU39 11.8 0.12 3.78 18652 582 100 67.87
JU40 11.6 0.28 2.62 20494 621 98 40.88
JU41 11.8 0.07 3.24 19982 641 100 69.28
JU42 11.5 0.08 2.18 12110 506 101 77.03
JU43 11.9 0.34 2.72 11400 596 100 42.23
JU44 12 0.28 4.22 14695 511 102 48.48
JU45 12.7 0.11 4.26 12215 552 101 30.54
JU46 12.1 0.29 2.83 12674 565 101 48.79
JU47 12.2 0.53 3.93 9134 564 101 28.6
JU48 11.9 0.24 2.09 13941 607 103 61.62
JU49 12 0.59 4.52 11511 555 102 30.46
JU50 12.6 0.33 2.7 14685 579 100 59.56
JU51 13 0.21 3.67 12127 554 101 50.48
JU52 11.8 0.4 4.35 14669 573 100 53.4
JU53 11.9 0.39 5.13 11743 520 100 47.96
JU54 12.4 0.25 2.97 11078 517 101 46.61
JU55 11.9 0.5 2.83 12686 468 105 53.92
JU56 12.2 0.19 2.5 11025 583 104 30.93
JU57 13.2 0.05 5.05 14478 507 101 64.95
JU58 12.1 0.1 5.88 9602 509 104 53.23
JU59 11.9 0.28 3.58 12224 552 101 52.46
JU60 12.7 0.1 3.55 14675 579 101 64.4
JU61 13.8 0.05 3.62 9818 561 103 56.32
JU62 12.2 0.3 3.07 11115 524 101 47.5
JU63 12.3 0.25 4.83 12700 472 102 26.62
JU64 12 0.33 2.89 11390 484 103 49.45
JU65 13.3 0.2 2.79 13208 574 103 48.02
JU66 12.8 0.17 3.54 13324 502 103 73.5
JU67 13 0.18 4.68 12848 490 102 48.75
JU68 12.8 0.19 4.36 9858 493 101 35.86
JU69 11.9 0.38 4.9 11235 485 102 34.02
JU70 12.1 0.31 4.68 10600 514 101 47.33
JU71 12.8 0.15 2.22 16265 687 102 67.52
JU72 12.3 0.51 3.78 16451 596 102 39.46
JU73 12.8 0.21 4.14 12544 565 102 43.41
JU74 12.1 0.36 3.72 12757 579 101 38.76
JU75 12 0.33 4.75 13416 578 102 36.77
JU76 12.5 0.58 3.36 12969 538 101 44.15
JU77 13.3 0.34 2.91 13718 600 102 59.46
JU78 12.6 0.32 2.21 15009 555 101 54.61
JU79 13.4 0.17 3.68 8659 529 101 48.82
JU80 12.3 0.25 3.25 14431 488 101 46.31
JU81 12.7 0.18 2.7 14702 570 100 69.3
JU82 12.4 0.39 3.95 14738 566 103 38.82
JU83 11.9 0.46 2.9 10310 495 102 35.29
JU84 11.9 0.12 3.83 11037 525 102 53.38
JU85 13 0.16 4 12591 470 102 57.88
JU86 11.8 0.36 2.97 12782 536 103 41.11
JU87 12.7 0.2 2.03 15171 508 104 71.64
JU88 12.9 0.37 3.08 9778 465 103 30.87
