# MOISTURE,KNOT_RATIO,TREERING,E,DENSITY,BEAMHEIGHT,BENDING_STRENGTH,STIFFNES
# %,-,MM,N/MM2,KG/M3,CM,N/MM2,N/MM
1.330000000000000071e+01,4.000000000000000083e-02,3.000000000000000000e+00,1.405300000000000000e+04,6.750000000000000000e+02,1.010000000000000000e+02,5.839999999999999858e+01,2.195781250000000909e+03
1.200000000000000000e+01,1.600000000000000033e-01,2.500000000000000000e+00,2.061100000000000000e+04,4.740000000000000000e+02,1.000000000000000000e+02,7.434999999999999432e+01,3.252998737373738095e+03
1.280000000000000071e+01,1.400000000000000133e-01,3.879999999999999893e+00,1.884600000000000000e+04,5.960000000000000000e+02,9.900000000000000000e+01,4.982000000000000028e+01,3.004783163265306484e+03
1.169999999999999929e+01,1.300000000000000044e-01,2.020000000000000018e+00,1.858700000000000000e+04,5.820000000000000000e+02,1.000000000000000000e+02,7.851999999999999602e+01,2.933554292929293752e+03
1.200000000000000000e+01,1.600000000000000033e-01,2.129999999999999893e+00,1.929900000000000000e+04,6.780000000000000000e+02,1.000000000000000000e+02,7.931000000000000227e+01,3.045928030303030937e+03
1.240000000000000036e+01,4.000000000000000083e-02,2.979999999999999982e+00,2.169500000000000000e+04,5.950000000000000000e+02,1.000000000000000000e+02,6.434000000000000341e+01,3.424084595959596754e+03
1.250000000000000000e+01,3.200000000000000067e-01,3.669999999999999929e+00,1.652300000000000000e+04,5.920000000000000000e+02,1.000000000000000000e+02,5.818999999999999773e+01,2.607796717171717773e+03
1.150000000000000000e+01,7.000000000000000666e-02,3.669999999999999929e+00,1.833300000000000000e+04,6.340000000000000000e+02,1.010000000000000000e+02,8.839000000000000057e+01,2.864531250000000909e+03
1.309999999999999964e+01,1.900000000000000022e-01,2.439999999999999947e+00,1.862800000000000000e+04,5.920000000000000000e+02,1.010000000000000000e+02,3.302000000000000313e+01,2.910625000000000909e+03
1.169999999999999929e+01,2.500000000000000000e-01,3.000000000000000000e+00,1.568300000000000000e+04,5.400000000000000000e+02,1.010000000000000000e+02,6.028000000000000114e+01,2.450468750000000909e+03
1.319999999999999929e+01,2.000000000000000111e-01,3.750000000000000000e+00,1.849600000000000000e+04,6.050000000000000000e+02,1.000000000000000000e+02,9.185999999999999943e+01,2.919191919191919624e+03
1.190000000000000036e+01,1.100000000000000006e-01,1.959999999999999964e+00,1.979200000000000000e+04,6.460000000000000000e+02,1.010000000000000000e+02,8.187999999999999545e+01,3.092500000000000909e+03
1.230000000000000071e+01,2.999999999999999889e-02,2.399999999999999911e+00,2.009800000000000000e+04,6.180000000000000000e+02,1.010000000000000000e+02,9.101999999999999602e+01,3.140312500000000909e+03
1.240000000000000036e+01,5.999999999999999778e-02,2.390000000000000124e+00,1.560000000000000000e+04,6.240000000000000000e+02,1.010000000000000000e+02,8.129999999999999716e+01,2.437500000000000909e+03
1.309999999999999964e+01,2.999999999999999889e-02,2.229999999999999982e+00,1.806500000000000000e+04,5.890000000000000000e+02,1.010000000000000000e+02,6.707999999999999829e+01,2.822656250000000909e+03
1.400000000000000000e+01,4.000000000000000083e-02,4.280000000000000249e+00,1.488300000000000000e+04,6.100000000000000000e+02,1.000000000000000000e+02,4.840999999999999659e+01,2.348958333333333940e+03
1.259999999999999964e+01,7.000000000000000666e-02,2.810000000000000053e+00,1.128200000000000000e+04,6.140000000000000000e+02,1.020000000000000000e+02,5.553999999999999915e+01,1.745358910891089636e+03
